ODISHA,KENDRAPARA,Aali,
ARUNACHAL PRADESH,WEST SIANG,Aalo HQ,
RAJASTHAN,JAIPUR,Aandhi,
RAJASTHAN,JODHPUR,Aau,
RAJASTHAN,BANSWARA,Abapura,
GUJARAT,KACHCHH,Abdasa,
TELANGANA,RANGA REDDY,Abdullapurmet,
CHHATTISGARH,RAIPUR,Abhanpur,
ODISHA,JAGATSINGHAPUR,Abhyachandpur,
PUNJAB,FAZILKA,Abohar,
NAGALAND,MON,Aboi,
RAJASTHAN,SIROHI,Abu Road,
MAHARASHTRA,AMRAVATI,Achalpur,
TELANGANA,NAGARKURNOOL,Achampet,
ANDHRA PRADESH,WEST GODAVARI,Achanta,
GUJARAT,SURAT,Adajan,
HARYANA,HISAR,Adampur,
PUNJAB,JALANDHAR,Adampur,
BIHAR,PURBI CHAMPARAN,Adapur,
ODISHA,GAJAPATI,Adava,
TELANGANA,NALGONDA,Adavidevulapalli,
CHHATTISGARH,SAKTI,Adbhar,
TELANGANA,YADADRI BHUVANAGIRI,Adda Guduru,
TELANGANA,MAHABUBNAGAR,Addakal,
ANDHRA PRADESH,Bapatla,Addanki,
ANDHRA PRADESH,Alluri Sitharama Raju,Addateegala,
MADHYA PRADESH,JABALPUR,Adhartal,
BIHAR,KAIMUR (BHABUA),Adhaura,
UTTARAKHAND,CHAMOLI,Adibadri,
TELANGANA,ADILABAD,ADILABAD RURAL,
TELANGANA,ADILABAD,ADILABAD URBAN,
JHARKHAND,SARAIKELA KHARSAWAN,Adityapur(Gamharia),
ANDHRA PRADESH,KURNOOL,Adoni,
KERALA,PATHANAMTHITTA,Adoor,
KARNATAKA,KALABURAGI,Afzalpur,
ANDHRA PRADESH,Sri Sathya Sai,Agali,
ASSAM,DHUBRI,Agamoni,
MADHYA PRADESH,AGAR MALWA,Agar,
ODISHA,BHADRAK,Agarpada,
TAMIL NADU,KANNIYAKUMARI,Agastheeswaram,
LAKSHADWEEP,LAKSHADWEEP DISTRICT,Agatti,
NAGALAND,ZUNHEBOTO,Aghunato,
BIHAR,BHOJPUR,Agiaon,
ANDHRA PRADESH,Eluru,Agiripalle,
UTTAR PRADESH,AGRA,Agra,
MAHARASHTRA,GADCHIROLI,Aheri,
CHHATTISGARH,DURG,Ahiwara,
MAHARASHTRA,LATUR,Ahmadpur,
PUNJAB,MALERKOTLA,AHMEDGARH,
RAJASTHAN,JALORE,Ahore,
GUJARAT,DANG,Ahwa,
MIZORAM,AIZAWL,Aibawk,
ANDHRA PRADESH,Konaseema,Ainavilli,
ODISHA,SAMBALPUR,Ainthapali,
ODISHA,KHORDHA,Airfield (Kapila Prasad),
NAGALAND,WOKHA,Aitepyong,
MADHYA PRADESH,PANNA,Ajaigarh,
JAMMU AND KASHMIR,BANDIPORA,Ajas,
CHHATTISGARH,KORBA,Ajgarbahar,
UTTAR PRADESH,AURAIYA,Ajitmal,
KARNATAKA,CHIKKAMAGALURU,AJJAMPURA,
RAJASTHAN,AJMER,Ajmer,
PUNJAB,AMRITSAR,Ajnala,
MAHARASHTRA,KOLHAPUR,Ajra,
CHHATTISGARH,JANJGIR-CHAMPA,Akaltara,
BIHAR,NAWADA,Akbarpur,
UTTAR PRADESH,AMBEDKAR NAGAR,Akbarpur,
UTTAR PRADESH,KANPUR DEHAT,Akbarpur,
JAMMU AND KASHMIR,JAMMU,Akhnoor,
ANDHRA PRADESH,WEST GODAVARI,Akividu,
MAHARASHTRA,SOLAPUR,Akkalkot,
MAHARASHTRA,NANDURBAR,Akkalkuwa,
TELANGANA,SIDDIPET,Akkannapet,
RAJASTHAN,JHALAWAR,Aklera,
MAHARASHTRA,AKOLA,Akola,
MAHARASHTRA,AHMEDNAGAR,Akole,
ANDHRA PRADESH,NTR,A.Konduru,
BIHAR,ROHTAS,Akorhi Gola,
MAHARASHTRA,AKOLA,Akot,
MAHARASHTRA,NANDURBAR,Akrani,
NAGALAND,ZUNHEBOTO,Akuhaito,
NAGALAND,ZUNHEBOTO,Akuluto,
TELANGANA,YADADRI BHUVANAGIRI,Alair,
BIHAR,MADHEPURA,Alamnagar,
TELANGANA,JOGULAMBA GADWAL,Alampur,
HIMACHAL PRADESH,KANGRA,Alampur,
ANDHRA PRADESH,Konaseema,Alamuru,
KARNATAKA,KALABURAGI,Aland,
TAMIL NADU,CHENNAI,Alandur,
TAMIL NADU,PUDUKKOTTAI,Alangudi,
TAMIL NADU,TENKASI,Alangulam,
TAMIL NADU,PERAMBALUR,Alathur,
KERALA,PALAKKAD,Alathur,
BIHAR,KHAGARIA,Alauli,
JHARKHAND,GUMLA,Albert Ekka(Jari),
HARYANA,JIND,Alewa,
ASSAM,HAILAKANDI,Algapur,
MAHARASHTRA,RAIGAD,Alibag,
UTTAR PRADESH,ETAH,Aliganj,
BIHAR,DARBHANGA,Alinagar,
DELHI,NORTH,Alipur,
WEST BENGAL,Alipurduar,Alipurduar - I,
WEST BENGAL,Alipurduar,Alipurduar - II,
MADHYA PRADESH,ALIRAJPUR,Alirajpur,
TELANGANA,MEDAK,Alladurg,
ANDHRA PRADESH,Nandyal,Allagadda,
UTTAR PRADESH,PRAYAGRAJ,Allahabad,
TELANGANA,BHADRADRI KOTHAGUDEM,Allapalli,
UTTAR PRADESH,AMBEDKAR NAGAR,Allapur,
ANDHRA PRADESH,Konaseema,Allavaram,
ANDHRA PRADESH,SPSR NELLORE,Allur,
KARNATAKA,VIJAYAPURA,ALMEL,
UTTARAKHAND,ALMORA,Almora,
KARNATAKA,DHARWAD,ALNAVAR,
NAGALAND,MOKOKCHUNG,Alongkima,
JAMMU AND KASHMIR,BANDIPORA,Aloosa,
MADHYA PRADESH,RATLAM,Alot,
KARNATAKA,HASSAN,Alur,
